date,open,high,low,close,volume,amount,outstanding_share,turnover,factor_momentum_5d,factor_momentum_20d,factor_momentum_60d,factor_reversal_1d,factor_reversal_5d,factor_volatility_20d,factor_volatility_60d,factor_rsi_14d,factor_rsi_30d,factor_ma_ratio_20d,factor_ma_ratio_60d,factor_volume_ratio_20d,factor_price_volume_corr_20d,factor_price_position_20d,factor_amplitude_1d,factor_amplitude_20d,factor_gap_up,factor_gap_down,factor_macd
2024-09-20,15.27,15.65,15.09,15.65,192733014.0,3031915812.0,20556293036.0,0.009375864299193872,,,,,,,,50.0,50.0,,,,,,0.035782747603833896,,,,0.0
2024-09-23,15.65,15.77,15.45,15.59,136737176.0,2166292149.0,20556293036.0,0.006651840181521725,,,,0.003833865814696469,,,,50.0,50.0,,,,,,0.02052597819114819,,0.0,0.0,-0.0013461538461534417
2024-09-24,15.87,16.4,15.79,16.27,251226583.0,4106644355.0,20556293036.0,0.01222139529534969,,,,-0.04361770365618978,,,,50.0,50.0,,,,,,0.03749231714812535,,0.017960230917254627,0.0,0.019371492117191025
2024-09-25,16.68,17.07,16.66,16.68,283724846.0,4841338020.0,20556293036.0,0.013802335153673668,,,,-0.025199754148740094,,,,50.0,50.0,,,,,,0.02458033573141488,,0.025199754148740094,0.0,0.04312243139168004
2024-09-26,16.85,17.14,16.46,17.12,224564936.0,3833086687.0,20556293036.0,0.010924388731310748,,,,-0.026378896882494063,,,,50.0,50.0,,,,,,0.03971962616822428,,0.010191846522781933,0.0,0.07262911343488554
2024-09-27,17.59,17.79,17.02,17.26,174092796.0,3061022314.0,20556293036.0,0.008469075416229632,0.10287539936102252,,,-0.008177570093457875,-0.10287539936102252,,,50.0,50.0,,,,,,0.044611819235225926,,0.027453271028037296,0.0,0.09498792701944936
2024-09-30,17.62,18.47,16.87,17.88,671972617.0,11989845281.0,20556293036.0,0.032689386934851634,0.1468890314304041,,,-0.03592120509849339,-0.1468890314304041,,,50.0,50.0,,,,,,0.08948545861297527,,0.02085747392815751,0.0,0.13577776279040776
2024-10-08,19.36,19.58,17.26,17.7,706617244.0,13098607115.0,20556293036.0,0.03437474075517941,0.08789182544560536,,,0.010067114093959662,-0.08789182544560536,,,50.0,50.0,,,,,,0.13107344632768345,,0.08277404921700215,0.0,0.15238470835535267
2024-10-09,17.45,17.51,16.66,16.69,395716432.0,6837072588.0,20556293036.0,0.019250379010796664,0.0005995203836930418,,,0.05706214689265521,-0.0005995203836930418,,,50.0,50.0,,,,,,0.05092869982025173,,0.0,-0.01412429378531077,0.11145633110057318
2024-10-10,16.76,17.72,16.61,17.1,301784759.0,5253048164.0,20556293036.0,0.014680893995405097,-0.001168224299065379,,,-0.024565608148591878,0.001168224299065379,,,50.0,50.0,,,,,,0.06491228070175435,,0.004194128220491367,0.0,0.1019201063276185
2024-10-11,17.35,17.53,16.83,16.99,204517323.0,3576578456.0,20556293036.0,0.009949134439844342,-0.015643105446118355,,,0.006432748538011901,0.015643105446118355,,,50.0,50.0,,,,,,0.041200706297822416,,0.014619883040935644,0.0,0.08773942033251814
2024-10-14,17.11,17.51,16.83,17.42,209895342.0,3685655113.0,20556293036.0,0.010210758410206194,-0.02572706935123026,,,-0.02530900529723379,0.02572706935123026,,,50.0,50.0,,,,,,0.03903559127439743,,0.007062978222483807,0.0,0.09976948751977943
2024-10-15,17.25,17.26,16.88,16.88,167326264.0,2896694036.0,20556293036.0,0.008139904588194156,-0.04632768361581918,,,0.030998851894374457,0.04632768361581918,,,50.0,50.0,,,,,,0.02251184834123238,,0.0,-0.009758897818599399,0.07686421627180451
2024-10-16,16.83,17.29,16.78,17.2,139067215.0,2416131415.0,20556293036.0,0.006765189363493369,0.030557219892150878,,,-0.018957345971563955,-0.030557219892150878,,,64.4859813084112,50.0,,,,,,0.02965116279069756,,0.0,-0.002962085308056861,0.07726698457848258
2024-10-17,17.23,17.36,16.87,16.89,132417366.0,2300457654.0,20556293036.0,0.006441694802078322,-0.012280701754386003,,,0.018023255813953365,0.012280701754386003,,,60.954063604240275,50.0,,,,,,0.029011249259917018,,0.0017441860465117198,0.0,0.05818897812401502
2024-10-18,17.1,17.62,17.06,17.38,219917288.0,3856826864.0,20556293036.0,0.010698295048375763,0.022954679223072372,,,-0.02901124925991705,-0.022954679223072372,,,64.69622331691296,50.0,,,,,,0.03222094361334881,,0.01243339253996445,0.0,0.07269967066895688
2024-10-21,17.82,18.31,17.64,17.96,271742565.0,4961500152.0,20556293036.0,0.01321943428827855,0.030998851894374235,,,-0.0333716915995399,-0.030998851894374235,,,64.10684474123539,50.0,,,,,,0.037305122494431964,,0.025316455696202667,0.0,0.11875693941744103
2024-10-22,17.87,18.04,17.62,17.79,170124384.0,3067127996.0,20556293036.0,0.008276024461320098,0.053909952606635114,,,0.009465478841870878,-0.053909952606635114,,,59.65217391304346,50.0,,,,,,0.023608768971332107,,0.0,-0.0050111358574610465,0.14185299889670233
2024-10-23,17.84,17.91,17.43,17.59,158883827.0,2839459534.0,20556293036.0,0.007729206171645276,0.022674418604651247,,,0.011242270938729537,-0.022674418604651247,,,54.2649727767695,50.0,,,,,,0.027288231949971598,,0.0028105677346823565,0.0,0.14504738950589768
2024-10-24,17.35,17.35,17.07,17.24,153140704.0,2674306647.0,20556293036.0,0.007449821022292611,0.02072232089994075,,,0.019897669130187645,-0.02072232089994075,,,49.8251748251748,50.0,0.010314111579934337,,-0.4071440341928002,,0.47884187082405333,0.016241299303944384,0.041859381691886646,0.0,-0.013644115974985715,0.12294460998503709
2024-10-25,17.17,17.19,16.89,16.98,151253747.0,2610995383.0,20556293036.0,0.0073580264075390955,-0.023014959723820394,0.08498402555910545,,0.015081206496519561,0.023014959723820394,0.419955005482185,,41.60447761194032,50.0,-0.008785499547590558,,-0.40970961833063324,0.5079574555734363,0.3704600484261505,0.01766784452296824,0.04095363653784336,0.0,-0.004060324825985839,0.08719244397178727
2024-10-28,16.95,16.98,16.72,16.95,122817788.0,2100442302.0,20556293036.0,0.0059747050591714475,-0.05623608017817383,0.08723540731237978,,0.0017667844522968323,0.05623608017817383,0.41947997920908947,,42.80230326295586,50.0,-0.014448934500101762,,-0.5193797790907508,0.5063176349594443,0.30606860158311355,0.015339233038348176,0.040694299280203364,0.0,-0.0017667844522968323,0.0564615174420986
2024-10-29,17.02,17.27,16.93,16.97,157067199.0,2720298492.0,20556293036.0,0.007640832844955558,-0.046093310848791424,0.043023970497848785,,-0.0011799410029498247,0.046093310848791424,0.39325145581448717,,53.31753554502366,50.0,-0.015289987524298665,,-0.3738157266113169,0.4636375114769943,0.16346153846153796,0.02003535651149086,0.03982145124837164,0.004129793510324609,0.0,0.03331763008583977
2024-10-30,17.1,17.3,16.76,16.88,158313500.0,2724881176.0,20556293036.0,0.007701461529213822,-0.040363843092666385,0.011990407673860837,,0.005303476723629963,0.040363843092666385,0.38460836088962524,,47.179487179487154,50.0,-0.021080407109925536,,-0.35266428559248186,0.4721651055793433,0.13461538461538414,0.03199052132701417,0.040191960528151605,0.007660577489687848,0.0,0.008761808090270051
2024-10-31,16.81,16.83,16.42,16.58,183766661.0,3091011649.0,20556293036.0,0.008939678991643657,-0.03828306264501158,-0.031542056074766456,,0.017772511848341277,0.03828306264501158,0.37764758833828443,,44.9877750611247,50.0,-0.036970348212470694,,-0.24226730095597337,0.5041186891861823,0.050632911392404036,0.024728588661037193,0.039442408652792256,0.0,-0.00414691943127965,-0.03128838599821293
2024-11-01,16.48,17.25,16.4,17.0,251428808.0,4333954461.0,20556293036.0,0.012231232915374169,0.0011778563015312216,-0.015063731170336103,,-0.02533172496984326,-0.0011778563015312216,0.3881393883524274,,44.85294117647057,50.0,-0.011828988287266973,,0.020456536297026373,0.5220046446905814,0.18867924528301933,0.050000000000000086,0.03971181769103096,0.0,-0.00603136308805774,-0.03260782227791026
2024-11-04,17.11,17.17,16.73,17.1,150856016.0,2591393809.0,20556293036.0,0.0073386780260335654,0.00884955752212413,-0.043624161073825385,,-0.00588235294117645,-0.00884955752212413,0.3647214194783651,,53.02197802197805,50.0,-0.0037577558332604344,,-0.31532631692414037,0.5013021883683165,0.22012578616352294,0.025730994152046858,0.03652409446798453,0.006470588235294006,0.0,-0.026166612663267586
2024-11-05,17.01,17.47,16.9,17.45,185523057.0,3243783398.0,20556293036.0,0.009025122218052429,0.02828520919269306,-0.01412429378531077,,-0.020467836257309857,-0.02828520919269306,0.3717734253218287,,53.405994550408714,50.0,0.017374067164179108,,-0.04506405613587394,0.5323146386709464,0.5497382198952883,0.03266475644699142,0.031603659973949934,0.0,-0.0052631578947368585,0.004187406948759076
2024-11-06,17.4,17.45,16.91,17.06,193328545.0,3379872879.0,20556293036.0,0.009404835038176676,0.010663507109004655,0.022168963451168144,,0.022349570200573154,-0.010663507109004655,0.31822685897646114,,52.266666666666644,50.0,-0.006435456160274966,,0.0497936355331432,0.40860567670069936,0.3455497382198953,0.03165298944900347,0.030639874455387524,0.0,-0.002865329512893977,-0.0002918495408330557
