stock_code,stock_name,news_count,avg_score,max_score,min_score,avg_certainty,factor_strength
09988,阿里巴巴,1,5.1,5.1,5.1,0.85,6.12
300750,宁德时代,4,2.39,5.25,-2.7,0.762,4.82
002594,比亚迪,4,1.95,2.1,1.8,0.65,3.36
600276,恒瑞医药,3,-0.6,3.2,-3.2,0.733,2.92
002475,立讯精密,1,-1.4,-1.4,-1.4,0.7,1.12
01810,小米集团,3,-1.23,-1.2,-1.3,0.617,1.0
603259,药明康德,3,-2.8,-1.8,-4.5,0.733,0.54
